country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",2025-05-19 10:00:00,21.258815,81.578979,NH3,7.0,7.0,7.0
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",2025-05-19 10:00:00,21.219665,81.630094,NH3,2.0,2.0,2.0
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",2025-05-19 10:00:00,28.588333,77.221667,SO2,1.0,53.0,18.0
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",2025-05-19 10:00:00,28.5918245,77.2273074,NO2,14.0,50.0,25.0
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2025-05-19 10:00:00,28.611281,77.237738,PM2.5,85.0,223.0,161.0
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2025-05-19 10:00:00,28.611281,77.237738,SO2,3.0,23.0,11.0
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",2025-05-19 10:00:00,28.636429,77.201067,OZONE,34.0,178.0,47.0
India,Delhi,Delhi,"Mundka, Delhi - DPCC",2025-05-19 10:00:00,28.684678,77.076574,PM2.5,63.0,203.0,133.0
India,Delhi,Delhi,"Mundka, Delhi - DPCC",2025-05-19 10:00:00,28.684678,77.076574,NO2,22.0,78.0,37.0
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",2025-05-19 10:00:00,21.237755,81.705301,SO2,6.0,9.0,8.0
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",2025-05-19 10:00:00,21.371751,81.664929,CO,20.0,54.0,29.0
India,Delhi,Delhi,"Alipur, Delhi - DPCC",2025-05-19 10:00:00,28.815329,77.15301,NH3,13.0,19.0,16.0
India,Delhi,Delhi,"Alipur, Delhi - DPCC",2025-05-19 10:00:00,28.815329,77.15301,OZONE,20.0,108.0,26.0
India,Bihar,Patna,"Muradpur, Patna - BSPCB",2025-05-19 10:00:00,25.619651,85.147382,OZONE,6.0,40.0,16.0
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",2025-05-19 10:00:00,25.366336,87.117468,NO2,15.0,22.0,19.0
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",2025-05-19 10:00:00,25.366336,87.117468,CO,29.0,45.0,44.0
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",2025-05-19 10:00:00,25.366336,87.117468,OZONE,10.0,24.0,18.0
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",2025-05-19 10:00:00,25.0328,85.41948,PM10,26.0,123.0,58.0
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",2025-05-19 10:00:00,21.194815,81.31477,CO,16.0,36.0,29.0
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",2025-05-19 10:00:00,21.185571,81.343175,NH3,3.0,4.0,3.0
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",2025-05-19 10:00:00,21.185571,81.343175,CO,11.0,106.0,53.0
India,Delhi,Delhi,"DTU, Delhi - CPCB",2025-05-19 10:00:00,28.7500499,77.1112615,PM10,149.0,285.0,182.0
India,Delhi,Delhi,"DTU, Delhi - CPCB",2025-05-19 10:00:00,28.7500499,77.1112615,SO2,73.0,85.0,79.0
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2025-05-19 10:00:00,28.498571,77.26484,PM10,135.0,233.0,166.0
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2025-05-19 10:00:00,28.498571,77.26484,NO2,38.0,56.0,46.0
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2025-05-19 10:00:00,28.498571,77.26484,NH3,7.0,10.0,8.0
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",2025-05-19 10:00:00,28.498571,77.26484,SO2,8.0,24.0,14.0
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2025-05-19 10:00:00,28.647622,77.315809,OZONE,2.0,53.0,3.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2025-05-19 10:00:00,28.695381,77.181665,PM2.5,97.0,257.0,156.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2025-05-19 10:00:00,28.695381,77.181665,OZONE,21.0,250.0,27.0
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2025-05-19 10:00:00,28.4706914,77.1099364,PM10,144.0,281.0,193.0
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",2025-05-19 10:00:00,28.4706914,77.1099364,CO,20.0,70.0,65.0
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",2025-05-19 10:00:00,23.016834,72.625775,CO,38.0,56.0,51.0
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",2025-05-19 10:00:00,23.041137,72.456691,PM2.5,46.0,81.0,59.0
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",2025-05-19 10:00:00,23.041137,72.456691,NO2,7.0,15.0,10.0
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",2025-05-19 10:00:00,23.041137,72.456691,NH3,1.0,1.0,1.0
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",2025-05-19 10:00:00,23.041137,72.456691,SO2,2.0,2.0,2.0
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",2025-05-19 10:00:00,23.041137,72.456691,CO,10.0,28.0,22.0
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",2025-05-19 10:00:00,23.023389,72.515201,PM10,55.0,88.0,68.0
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",2025-05-19 10:00:00,23.023389,72.515201,NO2,4.0,16.0,8.0
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",2025-05-19 10:00:00,23.023389,72.515201,CO,1.0,17.0,7.0
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",2025-05-19 10:00:00,23.076793,72.627874,PM2.5,9.0,54.0,34.0
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",2025-05-19 10:00:00,23.04307,72.562968,CO,6.0,33.0,9.0
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",2025-05-19 10:00:00,23.04307,72.562968,OZONE,5.0,49.0,8.0
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",2025-05-19 10:00:00,21.613267,73.010555,PM2.5,19.0,41.0,29.0
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",2025-05-19 10:00:00,23.163798,72.677768,PM10,62.0,118.0,82.0
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",2025-05-19 10:00:00,23.163798,72.677768,CO,6.0,60.0,45.0
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",2025-05-19 10:00:00,23.163798,72.677768,OZONE,2.0,83.0,10.0
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",2025-05-19 10:00:00,23.243639,72.68994,NO2,19.0,51.0,29.0
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",2025-05-19 10:00:00,23.243639,72.68994,SO2,3.0,4.0,4.0
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",2025-05-19 10:00:00,23.221714,72.654328,NO2,16.0,24.0,18.0
India,Gujarat,Surat,"Science Center, Surat - SMC",2025-05-19 10:00:00,21.170046,72.795405,NO2,11.0,14.0,13.0
India,Gujarat,Surat,"Science Center, Surat - SMC",2025-05-19 10:00:00,21.170046,72.795405,SO2,39.0,41.0,40.0
India,Gujarat,Surat,"Science Center, Surat - SMC",2025-05-19 10:00:00,21.170046,72.795405,CO,32.0,40.0,34.0
